benchmark,profile,samples,median_wall_ms,wall_ms_samples
counter,solc-0.8.36-legacy-200,5,52.77508299332112,"[56.11508298898116, 52.07479203818366, 52.04995896201581, 52.77508299332112, 54.12220797734335]"
counter,solc-0.8.36-viair-200,5,106.86879197601229,"[98.62762497505173, 106.86879197601229, 113.07174997637048, 121.67279195273295, 102.00854105642065]"
counter,solar-gas-200,5,32.26991702103987,"[33.10320898890495, 31.01000003516674, 32.26991702103987, 32.56149997469038, 31.617209024261683]"
counter,solar-size-1,5,31.901791982818395,"[31.972000026144087, 32.585208013188094, 30.83316597621888, 31.901791982818395, 31.400582985952497]"
erc20_minimal,solc-0.8.36-legacy-200,5,105.10191600769758,"[105.10191600769758, 113.84754104074091, 107.80354199232534, 103.19208301370963, 102.93029196327552]"
erc20_minimal,solc-0.8.36-viair-200,5,242.70337499910966,"[237.81091696582735, 245.5478750052862, 242.70337499910966, 236.88508296618238, 244.30695903720334]"
erc20_minimal,solar-gas-200,5,40.56525003397837,"[40.56525003397837, 40.99404194857925, 41.981459013186395, 39.77024997584522, 39.18504103785381]"
erc20_minimal,solar-size-1,5,39.99291599029675,"[39.99291599029675, 39.38299999572337, 39.64425000594929, 40.18524999264628, 40.484917000867426]"
merkle_verifier,solc-0.8.36-legacy-200,5,69.77479200577363,"[67.79758399352431, 69.31370799429715, 69.77479200577363, 70.37304196273908, 72.60145799955353]"
merkle_verifier,solc-0.8.36-viair-200,5,121.82858301093802,"[129.26395802060142, 134.74725000560284, 121.82858301093802, 120.43441698187962, 121.0649170097895]"
merkle_verifier,solar-gas-200,5,34.68758298549801,"[35.41512502124533, 34.818332991562784, 34.68758298549801, 34.4106670236215, 34.67708296375349]"
merkle_verifier,solar-size-1,5,36.96229204069823,"[38.41395897325128, 41.35383298853412, 36.722999997437, 36.96229204069823, 35.160290950443596]"
uniswap_v2_pair,solc-0.8.36-legacy-200,5,501.9334999960847,"[501.9334999960847, 502.2942080395296, 500.351499998942, 506.1534999986179, 488.487874972634]"
uniswap_v2_pair,solc-0.8.36-viair-200,5,1528.4597080317326,"[1528.4597080317326, 1549.2020419915207, 1521.7401249683462, 1549.160959024448, 1526.9763749674894]"
uniswap_v2_pair,solar-gas-200,5,75.12262498494238,"[74.80787497479469, 74.28220799192786, 75.12262498494238, 76.11358299618587, 75.3776669735089]"
uniswap_v2_pair,solar-size-1,5,78.02204199833795,"[77.74037501076236, 78.50916701136157, 77.98758300486952, 79.53541603637859, 78.02204199833795]"
yearn_vault_v3,solc-0.8.36-legacy-200,5,1176.7403749981895,"[1168.3289589709602, 1158.4259999799542, 1187.5623340019956, 1176.7403749981895, 1189.7138340282254]"
yearn_vault_v3,solc-0.8.36-viair-200,5,4877.238291024696,"[4806.512166978791, 4806.508375040721, 4998.578792030457, 4916.428665979765, 4877.238291024696]"
yearn_vault_v3,solar-gas-200,5,143.8921249937266,"[144.73804202862084, 143.1644579861313, 143.74333299929276, 144.39133397536352, 143.8921249937266]"
yearn_vault_v3,solar-size-1,5,156.90558298956603,"[157.72366698365659, 156.08662500744686, 156.90558298956603, 157.20516699366271, 156.07912500854582]"
