benchmark_id,scenario,state_access_profile,profile_id,expected_success,call_succeeded,scenario_status_ok,harness_call_gas,internal_create_gas,return_hash,observer_hash,log_hash
amm_pair_subset,burn,mixed,solar-gas-200,True,True,True,3319,245591,0xba2552a06622d72adbb990758448f4d332c8ac9749006e3b000aeebd8cb63e60,0xf7a4eedcf9e2a9e9df09f9d4aa057d6b35d1d3e612e04af9ddda88cd8c00cd66,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,burn,mixed,solar-size-1,True,True,True,3366,235577,0xba2552a06622d72adbb990758448f4d332c8ac9749006e3b000aeebd8cb63e60,0xf7a4eedcf9e2a9e9df09f9d4aa057d6b35d1d3e612e04af9ddda88cd8c00cd66,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,burn,mixed,solc-0.8.36-legacy-200,True,True,True,4219,305284,0xba2552a06622d72adbb990758448f4d332c8ac9749006e3b000aeebd8cb63e60,0xf7a4eedcf9e2a9e9df09f9d4aa057d6b35d1d3e612e04af9ddda88cd8c00cd66,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,burn,mixed,solc-0.8.36-viair-200,True,True,True,3452,267244,0xba2552a06622d72adbb990758448f4d332c8ac9749006e3b000aeebd8cb63e60,0xf7a4eedcf9e2a9e9df09f9d4aa057d6b35d1d3e612e04af9ddda88cd8c00cd66,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,mint,cold,solar-gas-200,True,True,True,68732,245591,0x975c2ff2d88bb33eba87988c482ba1a11cee273451aa76eb28acc668585ac527,0xc451fb485914d752b0d7ca91cdd00cb82f05b6e223580e2b954dcf14da6c9442,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,mint,cold,solar-size-1,True,True,True,68744,235577,0x975c2ff2d88bb33eba87988c482ba1a11cee273451aa76eb28acc668585ac527,0xc451fb485914d752b0d7ca91cdd00cb82f05b6e223580e2b954dcf14da6c9442,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,mint,cold,solc-0.8.36-legacy-200,True,True,True,69151,305284,0x975c2ff2d88bb33eba87988c482ba1a11cee273451aa76eb28acc668585ac527,0xc451fb485914d752b0d7ca91cdd00cb82f05b6e223580e2b954dcf14da6c9442,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,mint,cold,solc-0.8.36-viair-200,True,True,True,68920,267244,0x975c2ff2d88bb33eba87988c482ba1a11cee273451aa76eb28acc668585ac527,0xc451fb485914d752b0d7ca91cdd00cb82f05b6e223580e2b954dcf14da6c9442,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,swap,mixed,solar-gas-200,True,True,True,3179,245591,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x7f303125daad806b1f3bed21c86e69b92e26a155567ef41bad2d67f45d201721,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,swap,mixed,solar-size-1,True,True,True,3322,235577,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x7f303125daad806b1f3bed21c86e69b92e26a155567ef41bad2d67f45d201721,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,swap,mixed,solc-0.8.36-legacy-200,True,True,True,3773,305284,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x7f303125daad806b1f3bed21c86e69b92e26a155567ef41bad2d67f45d201721,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,swap,mixed,solc-0.8.36-viair-200,True,True,True,3502,267244,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x7f303125daad806b1f3bed21c86e69b92e26a155567ef41bad2d67f45d201721,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,sync,warm,solar-gas-200,True,True,True,41954,245591,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x2588b6fc3697e03de4994f904a76baf16d8ba5b56c4c93a35bbbede21af334ed,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,sync,warm,solar-size-1,True,True,True,42077,235577,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x2588b6fc3697e03de4994f904a76baf16d8ba5b56c4c93a35bbbede21af334ed,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,sync,warm,solc-0.8.36-legacy-200,True,True,True,42138,305284,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x2588b6fc3697e03de4994f904a76baf16d8ba5b56c4c93a35bbbede21af334ed,0x0000000000000000000000000000000000000000000000000000000000000000
amm_pair_subset,sync,warm,solc-0.8.36-viair-200,True,True,True,42068,267244,0xb10e2d527612073b26eecdfd717e6a320cf44b4afac2b0732d9fcbe2b7fa0cf6,0x2588b6fc3697e03de4994f904a76baf16d8ba5b56c4c93a35bbbede21af334ed,0x0000000000000000000000000000000000000000000000000000000000000000
counter,add_value_five,warm,solar-gas-200,True,True,True,923,78955,0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee3,0x6748c6dc3bf38acc4a83bd6ccf160947c6c2bf6df978006d4ecef96e54c72994,0x0000000000000000000000000000000000000000000000000000000000000000
counter,add_value_five,warm,solar-size-1,True,True,True,923,78955,0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee3,0x6748c6dc3bf38acc4a83bd6ccf160947c6c2bf6df978006d4ecef96e54c72994,0x0000000000000000000000000000000000000000000000000000000000000000
counter,add_value_five,warm,solc-0.8.36-legacy-200,True,True,True,1126,102442,0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee3,0x6748c6dc3bf38acc4a83bd6ccf160947c6c2bf6df978006d4ecef96e54c72994,0x0000000000000000000000000000000000000000000000000000000000000000
counter,add_value_five,warm,solc-0.8.36-viair-200,True,True,True,870,99059,0xf3f7a9fe364faab93b216da50a3214154f22a0a2b415b23a84c8169e8b636ee3,0x6748c6dc3bf38acc4a83bd6ccf160947c6c2bf6df978006d4ecef96e54c72994,0x0000000000000000000000000000000000000000000000000000000000000000
