benchmark,profile,creation_bytes,runtime_bytes,runtime_checks
amm_pair_subset,solc-0.8.36-legacy-200,1392,1364,pass
amm_pair_subset,solc-0.8.36-viair-200,1200,1174,pass
amm_pair_subset,solar-gas-200,1084,1066,pass
amm_pair_subset,solar-size-1,1034,1016,pass
counter,solc-0.8.36-legacy-200,323,240,pass
counter,solc-0.8.36-viair-200,324,223,pass
counter,solar-gas-200,181,123,pass
counter,solar-size-1,181,123,pass
create2_address_hashing,solc-0.8.36-legacy-200,574,546,pass
create2_address_hashing,solc-0.8.36-viair-200,505,479,pass
create2_address_hashing,solar-gas-200,331,313,pass
create2_address_hashing,solar-size-1,331,313,pass
curve_stableswap_2coin,solc-0.8.36-legacy-200,30349,24854,pass
curve_stableswap_2coin,solc-0.8.36-viair-200,24897,19544,pass
curve_stableswap_2coin,solar-gas-200,27540,20876,pass
curve_stableswap_2coin,solar-size-1,27890,21713,pass
eip1167_codehash_bookkeeping,solc-0.8.36-legacy-200,752,724,pass
eip1167_codehash_bookkeeping,solc-0.8.36-viair-200,622,596,pass
eip1167_codehash_bookkeeping,solar-gas-200,475,457,pass
eip1167_codehash_bookkeeping,solar-size-1,475,457,pass
erc20_minimal,solc-0.8.36-legacy-200,1630,1474,pass
erc20_minimal,solc-0.8.36-viair-200,1439,1277,pass
erc20_minimal,solar-gas-200,1151,1028,pass
erc20_minimal,solar-size-1,1118,995,pass
erc20_permit_hashing,solc-0.8.36-legacy-200,642,614,pass
erc20_permit_hashing,solc-0.8.36-viair-200,542,516,pass
erc20_permit_hashing,solar-gas-200,382,364,pass
erc20_permit_hashing,solar-size-1,406,388,pass
merkle_verifier,solc-0.8.36-legacy-200,599,571,pass
merkle_verifier,solc-0.8.36-viair-200,464,438,pass
merkle_verifier,solar-gas-200,245,228,pass
merkle_verifier,solar-size-1,257,240,pass
ownable_pausable,solc-0.8.36-legacy-200,972,882,pass
ownable_pausable,solc-0.8.36-viair-200,829,747,pass
ownable_pausable,solar-gas-200,640,566,pass
ownable_pausable,solar-size-1,588,514,pass
scale_abi_args_1,solc-0.8.36-legacy-200,122,96,pass
scale_abi_args_1,solc-0.8.36-viair-200,88,64,pass
scale_abi_args_1,solar-gas-200,58,41,pass
scale_abi_args_1,solar-size-1,58,41,pass
scale_abi_args_16,solc-0.8.36-viair-200,214,190,pass
scale_abi_args_16,solar-gas-200,254,237,pass
scale_abi_args_16,solar-size-1,254,237,pass
scale_abi_args_2,solc-0.8.36-legacy-200,180,154,pass
scale_abi_args_2,solc-0.8.36-viair-200,120,96,pass
scale_abi_args_2,solar-gas-200,90,73,pass
scale_abi_args_2,solar-size-1,90,73,pass
scale_abi_args_32,solc-0.8.36-viair-200,350,324,pass
scale_abi_args_32,solar-gas-200,447,429,pass
scale_abi_args_32,solar-size-1,447,429,pass
scale_abi_args_4,solc-0.8.36-legacy-200,219,193,pass
scale_abi_args_4,solc-0.8.36-viair-200,145,121,pass
scale_abi_args_4,solar-gas-200,113,96,pass
scale_abi_args_4,solar-size-1,113,96,pass
scale_abi_args_64,solc-0.8.36-viair-200,574,548,pass
scale_abi_args_64,solar-gas-200,831,813,pass
scale_abi_args_64,solar-size-1,831,813,pass
scale_abi_args_8,solc-0.8.36-legacy-200,319,291,pass
scale_abi_args_8,solc-0.8.36-viair-200,166,142,pass
scale_abi_args_8,solar-gas-200,158,141,pass
scale_abi_args_8,solar-size-1,158,141,pass
scale_dispatch_1,solc-0.8.36-legacy-200,158,132,pass
scale_dispatch_1,solc-0.8.36-viair-200,163,139,pass
scale_dispatch_1,solar-gas-200,96,79,pass
scale_dispatch_1,solar-size-1,96,79,pass
scale_dispatch_16,solc-0.8.36-legacy-200,482,454,pass
scale_dispatch_16,solc-0.8.36-viair-200,746,720,pass
scale_dispatch_16,solar-gas-200,439,421,pass
scale_dispatch_16,solar-size-1,349,331,pass
scale_dispatch_2,solc-0.8.36-legacy-200,171,145,pass
scale_dispatch_2,solc-0.8.36-viair-200,199,175,pass
scale_dispatch_2,solar-gas-200,112,95,pass
scale_dispatch_2,solar-size-1,112,95,pass
scale_dispatch_32,solc-0.8.36-legacy-200,830,802,pass
scale_dispatch_32,solc-0.8.36-viair-200,1354,1328,pass
scale_dispatch_32,solar-gas-200,791,773,pass
scale_dispatch_32,solar-size-1,662,644,pass
scale_dispatch_4,solc-0.8.36-legacy-200,203,177,pass
scale_dispatch_4,solc-0.8.36-viair-200,270,245,pass
scale_dispatch_4,solar-gas-200,158,141,pass
scale_dispatch_4,solar-size-1,144,127,pass
scale_dispatch_64,solc-0.8.36-legacy-200,1526,1498,pass
scale_dispatch_64,solc-0.8.36-viair-200,2569,2543,pass
scale_dispatch_64,solar-gas-200,1339,1321,pass
scale_dispatch_64,solar-size-1,1238,1220,pass
scale_dispatch_8,solc-0.8.36-legacy-200,308,280,pass
scale_dispatch_8,solc-0.8.36-viair-200,442,416,pass
scale_dispatch_8,solar-gas-200,255,238,pass
scale_dispatch_8,solar-size-1,208,191,pass
scale_events_1,solc-0.8.36-legacy-200,229,203,pass
scale_events_1,solc-0.8.36-viair-200,193,169,pass
scale_events_1,solar-gas-200,150,133,pass
scale_events_1,solar-size-1,165,148,pass
scale_events_16,solc-0.8.36-legacy-200,229,203,pass
scale_events_16,solc-0.8.36-viair-200,193,169,pass
scale_events_16,solar-gas-200,145,128,pass
scale_events_16,solar-size-1,169,152,pass
scale_events_2,solc-0.8.36-legacy-200,229,203,pass
