benchmark,scenario,access,expected_success,solc-legacy-200,solc-viair-200,solx-O3,solx-Oz
amm_pair_subset,burn,mixed,True,4243,3476,3190,3749
amm_pair_subset,mint,cold,True,69175,68944,68732,68767
amm_pair_subset,swap,mixed,True,3797,3526,3120,3153
amm_pair_subset,sync,warm,True,42162,42092,42002,41993
erc20_minimal,approve_success,warm,True,22894,22680,22714,22704
erc20_minimal,total_supply,cold,True,813,766,741,768
erc20_minimal,transfer_from_success,mixed,True,27475,27077,26838,26865
erc20_minimal,transfer_revert,cold,False,6250,6212,6130,6199
erc20_minimal,transfer_success,warm,True,23634,23433,23059,23117
merkle_verifier,hash_pair,cold,True,940,884,757,757
merkle_verifier,verify_empty_false,cold,True,1014,828,842,865
merkle_verifier,verify_proof_16,warm,True,5661,5852,5413,5585
merkle_verifier,verify_proof_16_false,warm,True,5659,5850,5412,5584
merkle_verifier,verify_proof_8,warm,True,3345,3354,3121,3229
merkle_verifier,verify_single,warm,True,1309,1150,1110,1162
uniswap_v2_pair,burn,mixed,True,86600,86476,84607,84733
uniswap_v2_pair,factory_create2_mint_initial,mixed,True,131920,129374,127195,126919
uniswap_v2_pair,factory_getter,warm,True,897,1233,840,840
uniswap_v2_pair,fee_off_resets_k_last,mixed,True,31953,31534,30399,30537
uniswap_v2_pair,fee_on_mint,mixed,True,69526,65003,59706,60818
uniswap_v2_pair,flash_swap_callback,mixed,True,106537,105320,103498,103946
uniswap_v2_pair,flash_swap_reentrancy_reverts,mixed,False,8639,8798,7963,8082
uniswap_v2_pair,initialize,cold,True,45139,45163,44944,44993
uniswap_v2_pair,lp_approve,mixed,True,25079,24870,24898,24947
uniswap_v2_pair,lp_transfer,mixed,True,25566,25616,25231,25252
uniswap_v2_pair,lp_transfer_from_finite_allowance,mixed,True,26766,26617,26309,26309
uniswap_v2_pair,lp_transfer_from_infinite_allowance,mixed,True,26468,26292,26061,26061
uniswap_v2_pair,mint_initial,mixed,True,129965,127419,125240,124964
uniswap_v2_pair,mint_subsequent,mixed,True,77038,76211,74547,74685
uniswap_v2_pair,permit_valid,mixed,True,49393,49499,48576,48559
uniswap_v2_pair,skim,mixed,True,75977,76407,75173,75205
uniswap_v2_pair,swap_dual_output,mixed,True,127599,126400,124539,124997
uniswap_v2_pair,swap_fee_invariant,mixed,True,101348,100095,98433,98883
uniswap_v2_pair,swap_no_return_tokens,mixed,True,100545,99243,97703,98153
uniswap_v2_pair,swap_token0_input,mixed,True,101348,100095,98433,98883
uniswap_v2_pair,swap_token1_input,mixed,True,101348,100093,98433,98883
uniswap_v2_pair,sync,mixed,True,70353,70196,68766,68803
uniswap_v2_pair,sync_timestamp_wrap,mixed,True,70353,70196,68766,68803
vault_deposit_withdraw,deposit_one_eth,cold,True,53339,53214,53115,53136
vault_deposit_withdraw,withdraw_half_eth,mixed,True,10030,9770,9584,9568
vault_deposit_withdraw,withdraw_revert,cold,False,3010,2926,2940,2924
