benchmark,profile,runtime_bytes,creation_bytes
erc20_minimal,solc-legacy-200,1474,1630
erc20_minimal,solc-viair-200,1277,1439
erc20_minimal,solx-O3,1005,1139
erc20_minimal,solx-Oz,991,1125
vault_deposit_withdraw,solc-legacy-200,835,863
vault_deposit_withdraw,solc-viair-200,732,758
vault_deposit_withdraw,solx-O3,594,620
vault_deposit_withdraw,solx-Oz,588,614
amm_pair_subset,solc-legacy-200,1364,1392
amm_pair_subset,solc-viair-200,1174,1200
amm_pair_subset,solx-O3,958,984
amm_pair_subset,solx-Oz,1025,1051
merkle_verifier,solc-legacy-200,571,599
merkle_verifier,solc-viair-200,438,464
merkle_verifier,solx-O3,350,376
merkle_verifier,solx-Oz,329,355
uniswap_v2_pair,solc-legacy-200,8243,8510
uniswap_v2_pair,solc-viair-200,7631,7930
uniswap_v2_pair,solx-O3,6938,7112
uniswap_v2_pair,solx-Oz,6334,6489
